80,504,1
91,5281,2
63,7906,5
63,7908,5
73,7908,4
76,7908,4
59,7909,3
63,7909,1
59,7912,2
83,8488,4
83,8500,4
80,8860,1
66,10420,5
92,13451,4
83,15975,1
83,16754,1
92,19239,2
83,19298,1
83,19798,5
66,20171,5
66,25662,5
66,26502,4
80,26571,1
58,29389,4
58,31208,5
60,31497,2
69,31497,1
88,31497,1
80,34497,1
80,34501,1
80,34503,1
80,34504,1
80,34505,1
80,34507,1
66,34933,1
66,36179,1
58,37270,5
67,37966,4
66,38584,4
59,39006,3
67,39013,4
59,39014,4
59,39017,3
76,39130,3
67,39280,4
66,39302,4
76,39436,4
92,39560,2
80,39667,3
92,39688,3
58,39829,5
80,40912,1
60,42426,2
67,42549,2
67,42553,1
83,42599,4
83,48615,4
83,48619,5
91,49782,1
92,50280,1
67,54334,2
58,56666,5
80,58099,1
66,65553,3
66,65553,3
63,66428,1
65,69488,2
80,70053,1
83,70165,1
83,70165,1
83,70165,1
83,70166,1
83,70166,1
83,70166,1
83,70167,1
91,70167,1
83,70168,1
83,70168,1
83,70169,1
83,70170,1
83,70171,1
83,70172,1
83,70172,1
83,70173,1
83,70173,1
63,72395,1
56,72536,4
76,72536,4
80,72536,1
59,72537,1
80,72537,1
56,72538,3
59,72538,2
92,72538,2
80,72540,1
80,72541,1
91,72542,4
69,72543,3
69,72544,4
69,72544,4
69,72544,4
58,72545,3
59,72545,2
69,72545,4
69,72545,4
69,72545,4
69,72546,5
69,72546,5
69,72546,5
69,72548,4
69,72548,4
69,72548,4
80,74853,1
58,74895,1
62,75037,4
80,75598,2
76,76755,4
76,76755,4
63,77246,1
82,77246,2
82,77247,2
82,77248,1
82,77249,2
69,77250,1
92,77795,3
80,78254,1
66,78513,4
66,78513,4
83,79278,3
80,81865,1
58,83480,2
59,83663,1
59,83665,1
63,83667,5
63,83667,5
59,83669,1
63,83669,5
69,83673,2
67,85140,5
51,85247,5
80,86171,5
67,87446,5
80,87785,1
73,88370,1
58,89190,4
80,89384,1
51,89412,4
80,89941,5
80,91352,1
92,92891,3
59,93594,1
84,93594,2
84,93596,2
80,94383,1
80,94572,5
92,94612,1
80,95929,1
66,96829,1
67,97310,1
80,97559,1
92,97811,2
67,97908,4
92,98249,2
91,99933,4
66,100490,3
76,100490,4
76,100490,4
83,100490,1
83,100490,1
83,100493,1
83,100493,1
83,100493,1
76,100494,4
83,100494,1
51,102015,1
58,102643,3
73,103215,1
58,103937,4
92,103937,2
66,104148,2
83,106747,1
67,106748,5
83,106748,1
83,106748,1
83,106749,1
83,106751,1
58,109344,3
62,109554,5
73,110433,3
66,112416,4
66,112416,4
92,112895,2
91,112930,2
80,113828,1
66,114809,2
66,114809,2
87,117641,2
92,118178,2
67,118236,2
62,122530,4
58,123016,4
76,123973,4
63,124301,1
91,125548,1
91,125552,3
91,125556,1
67,130787,5
67,130789,3
82,131067,2
88,131067,1
60,131069,2
69,131069,1
60,131073,2
60,131074,1
60,131076,1
88,131076,1
91,132453,5
91,132456,4
91,132463,4
80,135075,1
62,135103,3
92,135118,5
58,135669,2
92,136210,2
58,136379,3
67,137325,2
58,137798,1
59,138180,4
59,138183,3
59,138188,4
58,138531,3
56,138973,3
59,138973,1
73,138973,1
59,138975,2
69,138975,3
69,138975,3
59,138984,2
92,139104,3
59,139106,2
63,139106,1
69,139106,3
92,139106,3
69,139109,2
69,139109,2
69,139109,2
80,139114,5
92,139114,2
92,139115,2
58,141542,1
66,141799,1
66,141799,1
58,142392,3
87,142815,4
58,143262,2
76,143262,4
67,144274,2
83,145022,4
63,146369,1
63,146566,1
66,148932,1
58,151405,3
69,151598,1
69,151598,1
69,151598,1
67,151611,1
73,151611,2
76,151686,3
66,152084,1
76,152502,4
59,152753,1
58,152778,3
92,154570,1
66,155930,4
66,155937,3
58,156096,3
92,156909,4
67,156910,4
67,156917,5
58,159033,3
58,159781,1
58,162823,5
67,163129,1
58,164107,3
80,164914,1
59,165755,1
51,167477,3
73,167477,2
58,168978,4
80,171404,5
92,172476,4
76,172623,4
80,174768,5
58,174787,3
66,175373,2
67,176800,1
58,176827,4
92,177775,2
92,177946,2
91,180418,1
58,182486,4
67,183460,5
62,183549,5
58,184233,5
67,186186,3
80,186804,1
80,187454,1
59,187558,3
59,187563,3
