504,"Citigroup"
5281,"strange"
7906,"familar topic|business"
7908,"familar topic|business"
7908,"politics"
7908,"world news|business"
7909,"political"
7909,"difficult to understand|tech"
7912,"political"
8488,"international"
8500,"international|politics"
8860,"Citigroup"
10420,"golf"
13451,"wow!|celebrity|entertainment"
15975,"economy|technology"
16754,"difficult to understand"
19239,"difficult to understand|nature/environment|bad news|forum"
19298,"canada"
19798,"technology|science|india"
20171,"golf"
25662,"golf"
26502,"golf"
26571,"Citigroup"
29389,"opinion"
31208,"stress|odd|fun|psychology"
31497,"weird"
31497,"default"
31497,"default"
34497,"Citigroup"
34501,"Citigroup"
34503,"Citigroup"
34504,"Citigroup"
34505,"Citigroup"
34507,"Citigroup"
34933,"golf"
36179,"golf"
37270,"food|health"
37966,"cooking"
38584,"golf"
39006,"random"
39013,"familar topic"
39014,"health"
39017,"technology|health"
39130,"music|entertainment"
39280,"cooking"
39302,"golf"
39436,"business"
39560,"health"
39667,"Citigroup"
39688,"familar topic|nature/environment|bad news|world"
39829,"computer|innovation|cars|business"
40912,"Music"
42426,"US"
42549,"default"
42553,"default"
42599,"technology|science|india"
48615,"russia"
48619,"russia"
49782,"default"
50280,"forum"
54334,"default"
56666,"favorite|health|technology|animals|science"
58099,"Citigroup"
65553,"carnegie mellon"
65553,"carnegie"
66428,"unrelated"
69488,"The Simpsons"
70053,"Berkshire Hathaway"
70165,"difficult to understand"
70165,"default"
70165,"default"
70166,"default"
70166,"default"
70166,"default"
70167,"default"
70167,"default"
70168,"default"
70168,"default"
70169,"default"
70170,"default"
70171,"default"
70172,"default"
70172,"default"
70173,"default"
70173,"default"
72395,"unrelated"
72536,"Discoveries|Interesting"
72536,"familar topic"
72536,"History"
72537,"random|technology"
72537,"Internet"
72538,"Not interested"
72538,"world events"
72538,"world"
72540,"Internet"
72541,"difficult to understand"
72542,"strange"
72543,"history"
72544,"default"
72544,"default"
72544,"default"
72545,"odd|health|history"
72545,"random|world events|health"
72545,"history"
72545,"history"
72545,"history"
72546,"history"
72546,"history"
72546,"history"
72548,"history"
72548,"history"
72548,"history"
74853,"Berkshire Hathaway"
74895,"difficult to understand|science"
75037,"asia|culture|international|human interest|food|experiential|domestic|business"
75598,"Movies|Catholocism"
76755,"world"
76755,"world"
77246,"difficult to understand"
77246,"tech"
77247,"tech"
77248,"tech"
77249,"tech"
77250,"default"
77795,"difficult to understand|movies|forum|funny"
78254,"difficult to understand"
78513,"science"
78513,"science"
79278,"india"
81865,"Berkshire Hathaway"
83480,"ariplanes|education|design"
83663,"random"
83665,"random"
83667,"familar topic|tech"
83667,"familar topic|tech"
83669,"random|political"
83669,"familar topic|business"
83673,"default"
85140,"default"
85247,"broadway"
86171,"Movies"
87446,"international"
87785,"Berkshire Hathaway"
88370,"difficult to understand"
89190,"religion"
89384,"Berkshire Hathaway"
89412,"movies"
89941,"Movies"
91352,"Berkshire Hathaway"
92891,"familar topic|science|wow!|health|diet"
93594,"random"
93594,"page not good"
93596,"page not good"
94383,"Berkshire Hathaway"
94572,"Berkshire Hathaway"
94612,"forum"
95929,"Citigroup"
96829,"philadelphia"
97310,"default"
97559,"Berkshire Hathaway"
97811,"misc|people"
97908,"familar topic"
98249,"difficult to understand|politics|people"
99933,"Information Security"
100490,"technology"
100490,"other"
100490,"other"
100490,"default"
100490,"default"
100493,"default"
100493,"default"
100493,"difficult to understand"
100494,"other"
100494,"default"
102015,"news"
102643,"culture"
103215,"books"
103937,"food|health"
103937,"familar topic|economy"
104148,"sports"
106747,"default"
106748,"finance"
106748,"difficult to understand"
106748,"default"
106749,"default"
106751,"difficult to understand"
109344,"odd|politics"
109554,"*link to article*|business|science|achievement|economics|human interest"
110433,"entertainment"
112416,"science"
112416,"science"
112895,"difficult to understand|forum|funny|health|diet"
112930,"science-health"
113828,"Berkshire Hathaway"
114809,"music"
114809,"music"
117641,"Company Red Sox Technologies|AUTHORITY, Reliable|INTENSITY, Minor"
118178,"nature/environment|politics|forum|people"
118236,"movies"
122530,"*link to article*|business|science|achievement|economics"
123016,"psychology"
123973,"entertainment"
124301,"unrelated"
125548,"technology"
125552,"technology"
125556,"technology"
130787,"default"
130789,"default"
131067,"difficult to understand"
131067,"difficult to understand"
131069,"weird"
131069,"difficult to understand"
131073,"weird"
131074,"weird"
131076,"weird"
131076,"difficult to understand"
132453,"strange"
132456,"technology"
132463,"technology"
135075,"Berkshire Hathaway"
135103,"accident|human interest|experiential"
135118,"science|wow!|people|health"
135669,"technology"
136210,"forum|celebrity|entertainment"
136379,"college"
137325,"familar topic"
137798,"natural disaster"
138180,"pop culture"
138183,"music"
138188,"pop culture"
138531,"internet|entertainment|celebrities|music"
138973,"familar topic|Hot debate topic"
138973,"political"
138973,"society"
138975,"music|pop culture"
138975,"default|entertainment"
138975,"default|entertainment"
138984,"political"
139104,"difficult to understand|forum"
139106,"world events|environment"
139106,"unrelated"
139106,"history"
139106,"forum|funny"
139109,"space"
139109,"space"
139109,"space"
139114,"Movies"
139114,"forum"
139115,"difficult to understand"
141542,"religion|health"
141799,"does not link to article"
141799,"does"
142392,"college"
142815,"Company Google|AUTHORITY, Unreliable|INTENSITY, Minor"
143262,"culture"
143262,"U.S.|other"
144274,"entertaining"
145022,"default"
146369,"unrelated"
146566,"unrelated"
148932,"international"
151405,"food|business|psychology"
151598,"default"
151598,"default"
151598,"default"
151611,"default"
151611,"society"
151686,"world news|business"
152084,"golf"
152502,"Pitsburgh|sports"
152753,"random"
152778,"opinion|sports"
154570,"people"
155930,"golf"
155937,"international"
156096,"sports"
156909,"familar topic|misc|people"
156910,"default"
156917,"default"
159033,"familar topic|college|technology|Carnegie Mellon University"
159781,"computer|technology"
162823,"relationships|sex|ethics|culture"
163129,"default"
164107,"opinion"
164914,"Berkshire Hathaway"
165755,"random"
167477,"movies"
167477,"entertainment"
168978,"sports|education|civilian death"
171404,"Kodak"
172476,"misc|forum|funny|people"
172623,"music"
174768,"Kodak"
174787,"technology"
175373,"golf"
176800,"christian"
176827,"natural disaster|history"
177775,"nature/environment|forum"
177946,"difficult to understand|nature/environment|economy|world"
180418,"Information Security"
182486,"relationships|entertainment|celebrities|music"
183460,"default"
183549,"domestic|health|international|economics|meta-media|politics"
184233,"familar topic|favorite|entertainment|music"
186186,"default"
186804,"Citigroup"
187454,"difficult to understand"
187558,"random"
187563,"random"
187569,"random"
188109,"misc|celebrity|entertainment"
188173,"computer"
188508,"new york region"
188742,"weather"
188947,"golf"
189627,"travel"
190720,"opinion|music"
190840,"difficult to understand|celebrity"
191890,"canada"
193106,"india"
193432,"food"
193823,"familar topic|business"
194077,"retail|U.S.|business"
194985,"sports"
195287,"culture"
195698,"ice hockey"
196243,"international"
196803,"innovation|history"
196935,"food"
198131,"college|technology|Carnegie Mellon University"
198131,"carnegie mellon"
198131,"carnegie"
198146,"golf"
198146,"golf"
199545,"news"
199584,"media|domestic|human interest|economics|politics"
200865,"canada"
200962,"india"
200962,"india"
201009,"familar topic|celebrity|entertainment|funny"
201319,"forum"
201322,"forum|health"
202346,"canada"
203667,"familar topic"
204866,"weird"
204866,"default"
204866,"tech"
206144,"books"
209449,"difficult to understand"
209449,"default"
209451,"difficult to understand"
209451,"difficult to understand"
209451,"default|difficult to understand"
209453,"default"
209453,"default"
209455,"difficult to understand"
209455,"default"
209457,"default"
210452,"opinion|favorite|entertainment|celebrities|music"
210886,"innovation|food"
212806,"Citigroup"
213614,"music"
214343,"technology|business"
215087,"food|health|diet"
216644,"technology"
216748,"science|economics"
216979,"shopping"
217296,"Have no idea what page is about"
217296,"random"
217296,"weird"
217296,"unrelated"
217296,"unrelated"
217296,"default"
217296,"default"
217296,"difficult to understand"
217296,"difficult to understand"
217296,"page no good"
217296,"Not news article"
217297,"weird"
217297,"unrelated"
217297,"history|unusual"
217297,"history|unusual"
217297,"history|unusual"
217297,"science"
217297,"page no good"
217297,"posted comments|Not news article"
217297,"strange|technology"
217298,"Have no idea what page is about"
217298,"Have no idea what page is about"
217298,"science"
217298,"default|finances"
217298,"default|finances"
217299,"weird"
217299,"unrelated"
217299,"unusual"
217299,"posted comments|Not news article"
217299,"strange"
217300,"people|sad|very short and simple news"
217300,"weird"
217300,"unrelated"
217300,"unusual"
217300,"unusual"
217300,"unusual"
217300,"page not good"
217300,"politics"
217300,"Not news article"
217301,"random"
217301,"weird"
217301,"unrelated"
217301,"unusual"
217301,"page no good"
217301,"Not news article"
217301,"strange"
217302,"unrelated"
217302,"default"
217302,"difficult to understand"
217302,"posted comments|Not news article"
217303,"pop culture"
217303,"weird"
217303,"difficult to understand"
217303,"familar topic|page no good"
217303,"posted comments|Not news article"
217729,"forum"
217749,"unrelated"
217985,"default"
218201,"food|U.S.|business"
218201,"food|U.S.|business"
218275,"philadelphia"
218316,"*link to article*|education|science|achievement"
218316,"default"
219123,"books"
219123,"writing"
219123,"Tech Vendors"
219124,"difficult to understand"
219124,"difficult to understand"
219478,"philadelphia"
219890,"philadelphia"
220031,"people"
220330,"international"
220839,"science|achievement"
221686,"familar topic|forum|celebrity|funny"
223088,"difficult to understand"
223093,"books"
224649,"Company Google|AUTHORITY, Unreliable|INTENSITY, Minor"
226292,"Citigroup"
227394,"forum|funny"
228553,"familar topic|movies|bad news|wow!|forum"
228901,"familar topic|funny|people"
231022,"Iraq"
234686,"fda"
237656,"misc|forum"
237716,"family|international news|copycat incidents|criminal trials|civilian death"
238657,"jobs"
